"","name","group"
"1","g__Agabus","insect"
"2","g__Laccophilus","insect"
"3","g__Madaglymbus","insect"
"4","g__Orectochilus","insect"
"5","g__Hydraena","insect"
"6","g__Ochthebius","insect"
"7","g__Parhydraena","insect"
"8","g__Pelosoma","insect"
"9","g__Brillia","insect"
"10","g__Chironomus","insect"
"11","g__Cladopelma","insect"
"12","g__Cladotanytarsus","insect"
"13","g__Cricotopus","insect"
"14","g__Diamesa","insect"
"15","g__Dicrotendipes","insect"
"16","g__Gymnometriocnemus","insect"
"17","g__Nanocladius","insect"
"18","g__Nilotanypus","insect"
"19","g__Orthocladius","insect"
"20","g__Paraborniella","insect"
"21","g__Tanytarsus","insect"
"22","g__Tavastia","insect"
"23","g__Thienemanniella","insect"
"24","g__Anopheles","insect"
"25","g__Toxorhynchites","insect"
"26","g__Dicranomyia","insect"
"27","g__Simulium","insect"
"28","g__Ameletus","insect"
"29","g__Austremerella","insect"
"30","g__Ephemerella","insect"
"31","g__Bleptus","insect"
"32","g__Epeorus","insect"
"33","g__Maccaffertium","insect"
"34","g__Rhithrogena","insect"
"35","g__Choroterpes","insect"
"36","g__Dudgeodes","insect"
"37","g__Heterosmylus","insect"
"38","g__Lestes","insect"
"39","g__Leuctra","insect"
"40","g__Tiphobiosis","insect"
"41","g__Austropsyche","insect"
"42","g__Potamyia","insect"
"43","s__Abbottina_obtusirostris","fish"
"44","s__Carassius_carassius","fish"
"45","s__Carassius_gibelio","fish"
"46","s__Chanodichthys_mongolicus","fish"
"47","s__Clupanodon_thrissa","fish"
"48","s__Coilia_nasus","fish"
"49","s__Ctenopharyngodon_idella","fish"
"50","s__Culter_alburnus","fish"
"51","s__Cyprinus_carpio","fish"
"52","s__Elopichthys_bambusa","fish"
"53","s__Gambusia_affinis","fish"
"54","s__Hemibagrus_macropterus","fish"
"55","s__Hemiculter_eigenmanni","fish"
"56","s__Hemiculter_leucisculus","fish"
"57","s__Homatula_wenshanensis","fish"
"58","s__Hypophthalmichthys_molitrix","fish"
"59","s__Hypophthalmichthys_nobilis","fish"
"60","s__Leiocassis_longirostris","fish"
"61","s__Megalobrama_terminalis","fish"
"62","s__Micropterus_salmoides","fish"
"63","s__Mylopharyngodon_piceus","fish"
"64","s__Opsariichthys_evolans","fish"
"65","s__Oreochromis_mossambicus","fish"
"66","s__Oreochromis_niloticus","fish"
"67","s__Planiliza_haematocheilus","fish"
"68","s__Procypris_rabaudi","fish"
"69","s__Pseudohemiculter_dispar","fish"
"70","s__Pseudolaubuca_sinensis","fish"
"71","s__Pseudorasbora_parva","fish"
"72","s__Rhinogobius_brunneus","fish"
"73","s__Rhinogobius_cliffordpopei","fish"
"74","s__Rhinogobius_similis","fish"
"75","s__Sarotherodon_galilaeus","fish"
"76","s__Saurogobio_dabryi","fish"
"77","s__Schizothorax_sinensis","fish"
"78","s__Silurus_asotus","fish"
"79","s__Siniperca_obscura","fish"
"80","s__Spinibarbus_sinensis","fish"
"81","s__Squaliobarbus_curriculus","fish"
"82","s__Tachysurus_eupogon","fish"
"83","s__Tachysurus_vachellii","fish"
"84","s__Triplophysa_bleekeri","fish"
"85","s__Xenocypris_davidi","fish"
"86","s__Xenocypris_yunnanensis","fish"
"87","s__Zacco_platypus","fish"
"88","g__Amathia","invertebrate"
"89","g__Cephalothrix","invertebrate"
"90","g__Clathria","invertebrate"
"91","g__Desmacella","invertebrate"
"92","g__Geodia","invertebrate"
"93","g__Hymeraphia","invertebrate"
"94","g__Munida","invertebrate"
"95","g__Pseudopolydora","invertebrate"
"96","g__Sollasella","invertebrate"
"97","g__Tumidotheres","invertebrate"
"98","g__Sinocalanus","zooplankton"
"99","g__Pseudodiaptomus","zooplankton"
"100","g__Tortanus","zooplankton"
"101","g__Carybdea","zooplankton"
"102","g__Hydra","zooplankton"
"103","g__Rathkea","zooplankton"
"104","g__Aequorea","zooplankton"
"105","g__Aglaophenia","zooplankton"
"106","g__Orthopyxis","zooplankton"
"107","g__Obelia","zooplankton"
"108","g__Agalma","zooplankton"
"109","g__Apolemia","zooplankton"
"110","g__Physophora","zooplankton"
"111","g__Pelagia","zooplankton"
"112","g__Laternula","zooplankton"
"113","g__Notopala","zooplankton"
"114","g__Fluminicola","zooplankton"
"115","g__Euspira","zooplankton"
"116","g__Hypselodoris","zooplankton"
"117","g__Reticulidia","zooplankton"
"118","g__Sulcospira","zooplankton"
"119","g__Glyptophysa","zooplankton"
"120","g__Brachionus","zooplankton"
"121","g__Lecane","zooplankton"
"122","g__Cephalodella","zooplankton"
"123","g__Polyarthra","zooplankton"
"124","g__Synchaeta","zooplankton"
"125","g__Cunea","zooplankton"
"126","g__Korotnevella","zooplankton"
"127","g__Vexillifera","zooplankton"
"128","g__Cochliopodium","zooplankton"
"129","g__Parvamoeba","zooplankton"
"130","g__Acanthamoeba","zooplankton"
"131","g__Nothophytophthora","zooplankton"
"132","g__Peronospora","zooplankton"
"133","g__Phytophthora","zooplankton"
"134","g__Globisporangium","zooplankton"
"135","g__Halophytophthora","zooplankton"
"136","g__Phytopythium","zooplankton"
"137","g__Pythium","zooplankton"
"138","g__Achlya","zooplankton"
"139","g__Leptolegnia","zooplankton"
"140","g__Haptoglossa","zooplankton"
"141","g__Apodera","zooplankton"
"142","g__Monosiga","zooplankton"
"143","g__Thecamonas","zooplankton"
"144","g__Cavernulicola","algae"
"145","g__Chlamydomonas","algae"
"146","g__Chlorella","algae"
"147","g__Chloropicon","algae"
"148","g__Chrysochromulina","algae"
"149","g__Cladosiphon","algae"
"150","g__Cladostephus","algae"
"151","g__Colpomenia","algae"
"152","g__Cryptomonas","algae"
"153","g__Cyanobium_PCC-6307","algae"
"154","g__Cyclostephanos","algae"
"155","g__Cyclotella","algae"
"156","g__Cymbella","algae"
"157","g__Dictyota","algae"
"158","g__Dinobryon","algae"
"159","g__Ethelia","algae"
"160","g__Eudesme","algae"
"161","g__Haramonas","algae"
"162","g__Hemiaulus","algae"
"163","g__Kryptoperidinium","algae"
"164","g__Mayamaea","algae"
"165","g__Melosira","algae"
"166","g__Micractinium","algae"
"167","g__Myriogloea","algae"
"168","g__Nannochloropsis","algae"
"169","g__Neoporphyra","algae"
"170","g__Nitzschia","algae"
"171","g__norank_o__Chloroplast","algae"
"172","g__Padina","algae"
"173","g__Pedospumella","algae"
"174","g__Pinnularia","algae"
"175","g__Planosiphon","algae"
"176","g__Pterosiphonia","algae"
"177","g__Sellaphora","algae"
"178","g__Skeletonema","algae"
"179","g__Stephanodiscus","algae"
"180","g__Synura","algae"
"181","g__Thalassiosira","algae"
