"","prey","predator"
"1","g__Cavernulicola","g__Brillia"
"2","g__Chlamydomonas","g__Brillia"
"3","g__Chlorella","g__Brillia"
"4","g__Chloropicon","g__Brillia"
"5","g__Chrysochromulina","g__Brillia"
"6","g__Cladosiphon","g__Brillia"
"7","g__Cladostephus","g__Brillia"
"8","g__Colpomenia","g__Brillia"
"9","g__Cryptomonas","g__Brillia"
"10","g__Cyanobium_PCC-6307","g__Brillia"
"11","g__Cyclostephanos","g__Brillia"
"12","g__Cyclotella","g__Brillia"
"13","g__Cymbella","g__Brillia"
"14","g__Dictyota","g__Brillia"
"15","g__Dinobryon","g__Brillia"
"16","g__Ethelia","g__Brillia"
"17","g__Eudesme","g__Brillia"
"18","g__Haramonas","g__Brillia"
"19","g__Hemiaulus","g__Brillia"
"20","g__Kryptoperidinium","g__Brillia"
"21","g__Mayamaea","g__Brillia"
"22","g__Melosira","g__Brillia"
"23","g__Micractinium","g__Brillia"
"24","g__Myriogloea","g__Brillia"
"25","g__Nannochloropsis","g__Brillia"
"26","g__Neoporphyra","g__Brillia"
"27","g__Nitzschia","g__Brillia"
"28","g__norank_o__Chloroplast","g__Brillia"
"29","g__Padina","g__Brillia"
"30","g__Pedospumella","g__Brillia"
"31","g__Pinnularia","g__Brillia"
"32","g__Planosiphon","g__Brillia"
"33","g__Pterosiphonia","g__Brillia"
"34","g__Sellaphora","g__Brillia"
"35","g__Skeletonema","g__Brillia"
"36","g__Stephanodiscus","g__Brillia"
"37","g__Synura","g__Brillia"
"38","g__Thalassiosira","g__Brillia"
"39","g__Cavernulicola","g__Chironomus"
"40","g__Chlamydomonas","g__Chironomus"
"41","g__Chlorella","g__Chironomus"
"42","g__Chloropicon","g__Chironomus"
"43","g__Chrysochromulina","g__Chironomus"
"44","g__Cladosiphon","g__Chironomus"
"45","g__Cladostephus","g__Chironomus"
"46","g__Colpomenia","g__Chironomus"
"47","g__Cryptomonas","g__Chironomus"
"48","g__Cyanobium_PCC-6307","g__Chironomus"
"49","g__Cyclostephanos","g__Chironomus"
"50","g__Cyclotella","g__Chironomus"
"51","g__Cymbella","g__Chironomus"
"52","g__Dictyota","g__Chironomus"
"53","g__Dinobryon","g__Chironomus"
"54","g__Ethelia","g__Chironomus"
"55","g__Eudesme","g__Chironomus"
"56","g__Haramonas","g__Chironomus"
"57","g__Hemiaulus","g__Chironomus"
"58","g__Kryptoperidinium","g__Chironomus"
"59","g__Mayamaea","g__Chironomus"
"60","g__Melosira","g__Chironomus"
"61","g__Micractinium","g__Chironomus"
"62","g__Myriogloea","g__Chironomus"
"63","g__Nannochloropsis","g__Chironomus"
"64","g__Neoporphyra","g__Chironomus"
"65","g__Nitzschia","g__Chironomus"
"66","g__norank_o__Chloroplast","g__Chironomus"
"67","g__Padina","g__Chironomus"
"68","g__Pedospumella","g__Chironomus"
"69","g__Pinnularia","g__Chironomus"
"70","g__Planosiphon","g__Chironomus"
"71","g__Pterosiphonia","g__Chironomus"
"72","g__Sellaphora","g__Chironomus"
"73","g__Skeletonema","g__Chironomus"
"74","g__Stephanodiscus","g__Chironomus"
"75","g__Synura","g__Chironomus"
"76","g__Thalassiosira","g__Chironomus"
"77","g__Cavernulicola","g__Cladopelma"
"78","g__Chlamydomonas","g__Cladopelma"
"79","g__Chlorella","g__Cladopelma"
"80","g__Chloropicon","g__Cladopelma"
"81","g__Chrysochromulina","g__Cladopelma"
"82","g__Cladosiphon","g__Cladopelma"
"83","g__Cladostephus","g__Cladopelma"
"84","g__Colpomenia","g__Cladopelma"
"85","g__Cryptomonas","g__Cladopelma"
"86","g__Cyanobium_PCC-6307","g__Cladopelma"
"87","g__Cyclostephanos","g__Cladopelma"
"88","g__Cyclotella","g__Cladopelma"
"89","g__Cymbella","g__Cladopelma"
"90","g__Dictyota","g__Cladopelma"
"91","g__Dinobryon","g__Cladopelma"
"92","g__Ethelia","g__Cladopelma"
"93","g__Eudesme","g__Cladopelma"
"94","g__Haramonas","g__Cladopelma"
"95","g__Hemiaulus","g__Cladopelma"
"96","g__Kryptoperidinium","g__Cladopelma"
"97","g__Mayamaea","g__Cladopelma"
"98","g__Melosira","g__Cladopelma"
"99","g__Micractinium","g__Cladopelma"
"100","g__Myriogloea","g__Cladopelma"
"101","g__Nannochloropsis","g__Cladopelma"
"102","g__Neoporphyra","g__Cladopelma"
"103","g__Nitzschia","g__Cladopelma"
"104","g__norank_o__Chloroplast","g__Cladopelma"
"105","g__Padina","g__Cladopelma"
"106","g__Pedospumella","g__Cladopelma"
"107","g__Pinnularia","g__Cladopelma"
"108","g__Planosiphon","g__Cladopelma"
"109","g__Pterosiphonia","g__Cladopelma"
"110","g__Sellaphora","g__Cladopelma"
"111","g__Skeletonema","g__Cladopelma"
"112","g__Stephanodiscus","g__Cladopelma"
"113","g__Synura","g__Cladopelma"
"114","g__Thalassiosira","g__Cladopelma"
"115","g__Cavernulicola","g__Cladotanytarsus"
"116","g__Chlamydomonas","g__Cladotanytarsus"
"117","g__Chlorella","g__Cladotanytarsus"
"118","g__Chloropicon","g__Cladotanytarsus"
"119","g__Chrysochromulina","g__Cladotanytarsus"
"120","g__Cladosiphon","g__Cladotanytarsus"
"121","g__Cladostephus","g__Cladotanytarsus"
"122","g__Colpomenia","g__Cladotanytarsus"
"123","g__Cryptomonas","g__Cladotanytarsus"
"124","g__Cyanobium_PCC-6307","g__Cladotanytarsus"
"125","g__Cyclostephanos","g__Cladotanytarsus"
"126","g__Cyclotella","g__Cladotanytarsus"
"127","g__Cymbella","g__Cladotanytarsus"
"128","g__Dictyota","g__Cladotanytarsus"
"129","g__Dinobryon","g__Cladotanytarsus"
"130","g__Ethelia","g__Cladotanytarsus"
"131","g__Eudesme","g__Cladotanytarsus"
"132","g__Haramonas","g__Cladotanytarsus"
"133","g__Hemiaulus","g__Cladotanytarsus"
"134","g__Kryptoperidinium","g__Cladotanytarsus"
"135","g__Mayamaea","g__Cladotanytarsus"
"136","g__Melosira","g__Cladotanytarsus"
"137","g__Micractinium","g__Cladotanytarsus"
"138","g__Myriogloea","g__Cladotanytarsus"
"139","g__Nannochloropsis","g__Cladotanytarsus"
"140","g__Neoporphyra","g__Cladotanytarsus"
"141","g__Nitzschia","g__Cladotanytarsus"
"142","g__norank_o__Chloroplast","g__Cladotanytarsus"
"143","g__Padina","g__Cladotanytarsus"
"144","g__Pedospumella","g__Cladotanytarsus"
"145","g__Pinnularia","g__Cladotanytarsus"
"146","g__Planosiphon","g__Cladotanytarsus"
"147","g__Pterosiphonia","g__Cladotanytarsus"
"148","g__Sellaphora","g__Cladotanytarsus"
"149","g__Skeletonema","g__Cladotanytarsus"
"150","g__Stephanodiscus","g__Cladotanytarsus"
"151","g__Synura","g__Cladotanytarsus"
"152","g__Thalassiosira","g__Cladotanytarsus"
"153","g__Cavernulicola","g__Cricotopus"
"154","g__Chlamydomonas","g__Cricotopus"
"155","g__Chlorella","g__Cricotopus"
"156","g__Chloropicon","g__Cricotopus"
"157","g__Chrysochromulina","g__Cricotopus"
"158","g__Cladosiphon","g__Cricotopus"
"159","g__Cladostephus","g__Cricotopus"
"160","g__Colpomenia","g__Cricotopus"
"161","g__Cryptomonas","g__Cricotopus"
"162","g__Cyanobium_PCC-6307","g__Cricotopus"
"163","g__Cyclostephanos","g__Cricotopus"
"164","g__Cyclotella","g__Cricotopus"
"165","g__Cymbella","g__Cricotopus"
"166","g__Dictyota","g__Cricotopus"
"167","g__Dinobryon","g__Cricotopus"
"168","g__Ethelia","g__Cricotopus"
"169","g__Eudesme","g__Cricotopus"
"170","g__Haramonas","g__Cricotopus"
"171","g__Hemiaulus","g__Cricotopus"
"172","g__Kryptoperidinium","g__Cricotopus"
"173","g__Mayamaea","g__Cricotopus"
"174","g__Melosira","g__Cricotopus"
"175","g__Micractinium","g__Cricotopus"
"176","g__Myriogloea","g__Cricotopus"
"177","g__Nannochloropsis","g__Cricotopus"
"178","g__Neoporphyra","g__Cricotopus"
"179","g__Nitzschia","g__Cricotopus"
"180","g__norank_o__Chloroplast","g__Cricotopus"
"181","g__Padina","g__Cricotopus"
"182","g__Pedospumella","g__Cricotopus"
"183","g__Pinnularia","g__Cricotopus"
"184","g__Planosiphon","g__Cricotopus"
"185","g__Pterosiphonia","g__Cricotopus"
"186","g__Sellaphora","g__Cricotopus"
"187","g__Skeletonema","g__Cricotopus"
"188","g__Stephanodiscus","g__Cricotopus"
"189","g__Synura","g__Cricotopus"
"190","g__Thalassiosira","g__Cricotopus"
"191","g__Cavernulicola","g__Diamesa"
"192","g__Chlamydomonas","g__Diamesa"
"193","g__Chlorella","g__Diamesa"
"194","g__Chloropicon","g__Diamesa"
"195","g__Chrysochromulina","g__Diamesa"
"196","g__Cladosiphon","g__Diamesa"
"197","g__Cladostephus","g__Diamesa"
"198","g__Colpomenia","g__Diamesa"
"199","g__Cryptomonas","g__Diamesa"
"200","g__Cyanobium_PCC-6307","g__Diamesa"
"201","g__Cyclostephanos","g__Diamesa"
