"","name","group"
"1","g__Onychelmis","insect"
"2","g__Hydraena","insect"
"3","g__Culicoides","insect"
"4","g__Chironomus","insect"
"5","g__Cladopelma","insect"
"6","g__Cladotanytarsus","insect"
"7","g__Cricotopus","insect"
"8","g__Glyptotendipes","insect"
"9","g__Kiefferulus","insect"
"10","g__Limnophyes","insect"
"11","g__Micropsectra","insect"
"12","g__Paracladopelma","insect"
"13","g__Polypedilum","insect"
"14","g__Tanytarsus","insect"
"15","g__Anopheles","insect"
"16","g__Culex","insect"
"17","g__Malaya","insect"
"18","g__Thambemyia","insect"
"19","g__Antocha","insect"
"20","g__Dicranomyia","insect"
"21","g__Metalimnobia","insect"
"22","g__Tetanocera","insect"
"23","g__Simulium","insect"
"24","g__Cloeon","insect"
"25","g__Serratella","insect"
"26","g__Thraulus","insect"
"27","g__Dudgeodes","insect"
"28","g__Argia","insect"
"29","g__Epiophlebia","insect"
"30","g__Onychogomphus","insect"
"31","g__Paragomphus","insect"
"32","g__Macromia","insect"
"33","g__Helicopha","insect"
"34","g__Oxyethira","insect"
"35","g__Bosminopsis","zooplankton"
"36","g__Macrothrix","zooplankton"
"37","g__Pseudodiaptomus","zooplankton"
"38","g__Sacculina","zooplankton"
"39","g__Cordylophora","zooplankton"
"40","g__Aglaophenia","zooplankton"
"41","g__Obelia","zooplankton"
"42","g__Plumularia","zooplankton"
"43","g__Nanomia","zooplankton"
"44","g__Amphicaryon","zooplankton"
"45","g__Limnoperna","zooplankton"
"46","g__Tegula","zooplankton"
"47","g__Polyplacotoma","zooplankton"
"48","g__Asplanchna","zooplankton"
"49","g__Brachionus","zooplankton"
"50","g__Keratella","zooplankton"
"51","g__Polyarthra","zooplankton"
"52","g__Synchaeta","zooplankton"
"53","g__Cunea","zooplankton"
"54","g__Korotnevella","zooplankton"
"55","g__Vexillifera","zooplankton"
"56","g__Cochliopodium","zooplankton"
"57","g__Planopodium","zooplankton"
"58","g__Acanthamoeba","zooplankton"
"59","g__Phytophthora","zooplankton"
"60","g__Globisporangium","zooplankton"
"61","g__Pythium","zooplankton"
"62","g__Achlya","zooplankton"
"63","g__Haptoglossa","zooplankton"
"64","g__Monosiga","zooplankton"
"65","g__Thecamonas","zooplankton"
"66","g__norank_o__Chloroplast","algae"
"67","g__Sphaerospermopsis_BCCUSP55","algae"
"68","g__Planktothricoides_SR001","algae"
"69","g__Planktothrix_NIVA-CYA_15","algae"
"70","g__Cyanobium_PCC-6307","algae"
"71","g__Prochlorothrix_PCC-9006","algae"
"72","g__norank_f__Synechococcaceae","algae"
"73","g__Pedinomonas","algae"
"74","g__Chlorella","algae"
"75","g__Micractinium","algae"
"76","g__Nitzschia","algae"
"77","g__Melosira","algae"
"78","g__Rhizosolenia","algae"
"79","g__Cyclostephanos","algae"
"80","g__Cyclotella","algae"
"81","g__Stephanodiscus","algae"
"82","g__Skeletonema","algae"
"83","g__Ulnaria","algae"
"84","g__Neoporphyra","algae"
"85","g__Hymenena","algae"
"86","g__Pseudophycodrys","algae"
"87","g__Symphyocladiella","algae"
"88","g__Pedospumella","algae"
"89","g__Dinobryon","algae"
"90","g__Apoikiospumella","algae"
"91","g__Segregatospumella","algae"
"92","g__Pseudopedinella","algae"
"93","g__Nannochloropsis","algae"
"94","g__Aureococcus","algae"
"95","g__Dictyota","algae"
"96","g__Acrothrix","algae"
"97","g__Mesogloia","algae"
"98","g__Hormosira","algae"
"99","g__Chattonella","algae"
"100","g__Haramonas","algae"
"101","g__Synura","algae"
"102","s__Saurida_undosquamis","fish"
"103","s__Oryzias_curvinotus","fish"
"104","s__Decapterus_maruadsi","fish"
"105","s__Trachinotus_carolinus","fish"
"106","s__Micropterus_salmoides","fish"
"107","s__Siniperca_obscura","fish"
"108","s__Coptodon_zillii","fish"
"109","s__Oreochromis_niloticus","fish"
"110","s__Sarotherodon_galilaeus","fish"
"111","s__Setipinna_tenuifilis","fish"
"112","s__Rhodeus_ocellatus","fish"
"113","s__Rhodeus_sericeus","fish"
"114","s__Sinibotia_pulchra","fish"
"115","s__Sinibotia_robusta","fish"
"116","s__Sinibotia_superciliaris","fish"
"117","s__Misgurnus_anguillicaudatus","fish"
"118","s__Misgurnus_bipartitus","fish"
"119","s__Barbodes_semifasciolatus","fish"
"120","s__Carassius_carassius","fish"
"121","s__Carassius_gibelio","fish"
"122","s__Carassius_langsdorfii","fish"
"123","s__Gymnocypris_namensis","fish"
"124","s__Onychostoma_simum","fish"
"125","s__Schizothorax_macropogon","fish"
"126","s__Schizothorax_sinensis","fish"
"127","s__Spinibarbus_sinensis","fish"
"128","s__Cyprinus_carpio","fish"
"129","s__Pseudorasbora_parva","fish"
"130","s__Phoxinus_phoxinus","fish"
"131","s__Rhynchocypris_lagowskii","fish"
"132","s__Misgurnus_mizolepis","fish"
"133","s__Barbatula_toni","fish"
"134","s__Lefua_costata","fish"
"135","s__Triplophysa_dalaica","fish"
"136","s__Chanodichthys_ilishaeformis","fish"
"137","s__Chanodichthys_mongolicus","fish"
"138","s__Ctenopharyngodon_idella","fish"
"139","s__Hemiculter_eigenmanni","fish"
"140","s__Hypophthalmichthys_molitrix","fish"
"141","s__Hypophthalmichthys_nobilis","fish"
"142","s__Opsariichthys_uncirostris","fish"
"143","s__Pseudobrama_simoni","fish"
"144","s__Pseudolaubuca_sinensis","fish"
"145","s__Squaliobarbus_curriculus","fish"
"146","s__Xenocypris_fangi","fish"
"147","s__Mugilogobius_chulae","fish"
"148","s__Mugilogobius_myxodermus","fish"
"149","s__Rhinogobius_cliffordpopei","fish"
"150","s__Perccottus_glenii","fish"
"151","s__Rhinogobius_similis","fish"
"152","s__Apogon_semilineatus","fish"
"153","s__Cottus_poecilopus","fish"
"154","s__Pterois_volitans","fish"
"155","s__Psenopsis_anomala","fish"
"156","s__Tachysurus_eupogon","fish"
"157","s__Upeneus_japonicus","fish"
"158","s__Lagocephalus_inermis","fish"
"159","s__Lagocephalus_spadiceus","fish"
"160","s__Lates_calcarifer","fish"
"161","s__Planiliza_affinis","fish"
"162","s__Siganus_fuscescens","fish"
"163","g__Healyella","invertebrate"
"164","g__Lumbricillus","invertebrate"
"165","g__Thalassodrilides","invertebrate"
"166","g__Tubifex","invertebrate"
"167","g__Diopatra","invertebrate"
"168","g__Perinereis","invertebrate"
"169","g__Proceraea","invertebrate"
"170","g__Capitella","invertebrate"
"171","g__Dasybranchus","invertebrate"
"172","g__Calcinus","invertebrate"
"173","g__Phylladiorhynchus","invertebrate"
"174","g__Panulirus","invertebrate"
"175","g__Trapezia","invertebrate"
"176","g__Spherillo","invertebrate"
"177","g__Livoneca","invertebrate"
"178","g__Erythropodium","invertebrate"
"179","g__Pterogorgia","invertebrate"
"180","g__Heterocyathus","invertebrate"
"181","g__Cycloseris","invertebrate"
"182","g__Poliometra","invertebrate"
"183","g__Aspidiophorus","invertebrate"
"184","g__Bifidochaetus","invertebrate"
"185","g__Chaetonotus","invertebrate"
"186","g__Lepidochaetus","invertebrate"
"187","g__Echinoderes","invertebrate"
"188","g__Desmodora","invertebrate"
"189","g__Metachromadora","invertebrate"
"190","g__Robbea","invertebrate"
"191","g__Angiostrongylus","invertebrate"
"192","g__Adoncholaimus","invertebrate"
"193","g__Tetrastemma","invertebrate"
"194","g__Cephalothrix","invertebrate"
"195","g__Tubulanus","invertebrate"
"196","g__Brachyrhynchoides","invertebrate"
"197","g__Dugesia","invertebrate"
"198","g__Hymeraphia","invertebrate"
"199","g__Scopalina","invertebrate"
"200","g__Desmacella","invertebrate"
"201","g__Callyspongia","invertebrate"
"202","g__Xestospongia","invertebrate"
"203","g__Clathria","invertebrate"
